page,key,zh-CN,en,ja
index,_meta_description,The Only Leaf 为职场女性与妈妈精选高端眼罩与补剂，提供极简且可信的选品路径。,The Only Leaf curates premium eye masks and supplements for working women and mothers with a minimal and trusted flow.,The Only Leaf は働く女性とママ向けに、高級アイマスクとサプリを最短導線で提案します。
index,_meta_title,The Only Leaf | 为职场女性策展的健康选品,The Only Leaf | Curated Wellness for Working Women,The Only Leaf | 働く女性のための厳選ウェルネス
index,c1_1,Dore & Rose 蚕丝眼罩（热销）,Dore & Rose silk eye mask (best seller),Dore & Rose シルクアイマスク（人気商品）
index,c1_2,睡眠喷雾（30秒睡前仪式）,Sleep mist (30-second bedtime ritual),スリープミスト（30秒の就寝習慣）
index,c1_3,降噪耳塞（家用/出差）,Noise-reduction earplugs (home + travel),ノイズ低減耳栓（自宅/移動）
index,c1_d,先把睡眠质量拉起来。,Prioritize real sleep quality before everything else.,まず睡眠の質を整える。
index,c1_t,The Restoration | 修复系,The Restoration,The Restoration
index,c2_1,VC：日常抵抗力支持,VC: daily immune support,VC：日常の免疫サポート
index,c2_2,TRU NIAGEN：NAD+ 代谢支持,TRU NIAGEN: NAD+ metabolic support,TRU NIAGEN：NAD+ 代謝サポート
index,c2_3,钙镁片：舒缓紧绷与疲劳,Calcium + Magnesium: stress and fatigue support,カルシウム+マグネシウム：緊張と疲労ケア
index,c2_d,为 late 20s 到 40s 的持续输出设计。,Designed for women with sustained workloads in their late 20s to 40s.,20代後半〜40代の継続的な高負荷に対応。
index,c2_t,The Vitality | 生命力系,The Vitality,The Vitality
index,c3_1,蓝莓/叶黄素配方,Bilberry / Lutein formula,ビルベリー/ルテイン配合
index,c3_2,蒸汽眼罩（15分钟恢复）,Steam eye mask (15-minute reset),蒸気アイマスク（15分リセット）
index,c3_3,防蓝光单品,Blue-light protection essentials,ブルーライト対策アイテム
index,c3_d,针对高屏幕时长的眼周与视疲劳管理。,For heavy screen life and visual tension management.,長時間スクリーンによる目疲れ対策。
index,c3_t,The Visual Shield | 护眼系,The Visual Shield,The Visual Shield
index,c_link_prefix,查看完整分组：,See full breakdown on the,詳細は
index,c_link_text,Collections 页面,Collections page,Collectionsページ
index,c_sub,高端感、功能性、可验证来源同时成立。,"Luxury feel, practical function, and verified sourcing.",高級感、実用性、検証可能な原料情報。
index,c_title,三大选品分类,The Curated Collections,キュレーションコレクション
index,faq_1_a,适合 20 后期到 40 岁的职场女性和妈妈，需要快速可靠的高端选品。,Working women and mothers in their late 20s to 40s who need reliable premium picks fast.,20代後半から40代の働く女性・ママで、短時間で信頼できる選択をしたい方。
index,faq_1_q,这个网站适合谁？,Who is this site for?,このサイトは誰向けですか？
index,faq_2_a,可以。下次发货前支持暂停、跳过或取消。,"Yes. You can pause, skip, or cancel before the next shipment cycle.",はい。次回発送前なら停止・スキップ・解約が可能です。
index,faq_2_q,订阅可以随时暂停吗？,Can I pause subscription anytime?,定期便はいつでも停止できますか？
index,faq_3_a,我们优先选择来源透明、成分清晰、并有第三方检测支持的产品。,"We prioritize transparent sourcing, ingredient labels, and third-party testing where available.",原料の透明性、成分表示、第三者検査を重視して選定しています。
index,faq_3_q,如何保证产品质量？,How do you ensure product quality?,品質はどう担保していますか？
index,faq_sub,给忙碌女性的快速答案。,Quick answers for busy women.,忙しい女性向けのクイック回答。
index,faq_title,常见问题,FAQ,FAQ
index,footer,© The Only Leaf | 为职场女性与妈妈策展的健康选品,© The Only Leaf | Curated Wellness for Working Women and Mothers,© The Only Leaf | 働く女性とママのためのキュレーション
index,hero_cta_science,查看透明背书,See Transparency,透明性を見る
index,hero_cta_shop,60秒快速选购,Shop in 60s,60秒で選ぶ
index,hero_kicker,为职场妈妈与职场女性打造 | 20后期至40岁,For Working Mama | Late 20s to 40s,働くママ・働く女性向け | 20代後半から40代
